instance, n_jobs, fitness, pct_dev, neighborhood_order, time_ms
ta060,50,127757,3.06807,tei,86.524
ta060,50,127757,3.06807,tei,95.193
ta060,50,127690,3.01402,tei,115.396
ta060,50,127690,3.01402,tei,108.24
ta060,50,126447,2.01123,tie,68.2798
ta060,50,126447,2.01123,tie,75.8013
ta060,50,126447,2.01123,tie,66.5623
ta060,50,126447,2.01123,tie,70.6389
ta060,50,128136,3.37383,tie,76.6501
ta060,50,126447,2.01123,tie,67.4103
ta060,50,128136,3.37383,tie,85.5563
ta060,50,126447,2.01123,tie,77.5765
ta060,50,127782,3.08824,tie,95.4933
ta060,50,127782,3.08824,tie,93.878
ta081,100,376691,3.07227,tei,1233.22
ta081,100,377645,3.33331,tei,1351.72
ta081,100,376714,3.07856,tei,1538.21
ta081,100,376714,3.07856,tei,1562.43
ta081,100,376714,3.07856,tei,1553.05
ta081,100,376714,3.07856,tei,1574.41
ta081,100,376714,3.07856,tei,1643.12
ta081,100,375766,2.81916,tei,1861.46
ta081,100,375766,2.81916,tei,1881.07
ta081,100,375766,2.81916,tei,1906.85
ta081,100,379291,3.78369,tie,1108.37
ta081,100,379291,3.78369,tie,1128.42
ta081,100,376019,2.88839,tie,1216.16
ta081,100,376019,2.88839,tie,1250.72
ta081,100,376019,2.88839,tie,1251.68
ta081,100,376019,2.88839,tie,1265.42
ta081,100,375898,2.85528,tie,1939.65
ta081,100,375898,2.85528,tie,1960
ta081,100,375898,2.85528,tie,1982.99
ta081,100,375898,2.85528,tie,2021.05
ta082,100,382356,2.78359,tei,1150.81
ta082,100,382356,2.78359,tei,1187.36
ta082,100,382356,2.78359,tei,1196.21
ta082,100,382356,2.78359,tei,1191.86
ta082,100,382356,2.78359,tei,1203.49
ta082,100,382356,2.78359,tei,1214.48
ta082,100,382356,2.78359,tei,1232.06
ta082,100,382356,2.78359,tei,1237.69
ta082,100,382356,2.78359,tei,1239.71
ta082,100,382356,2.78359,tei,1250.05
ta082,100,384865,3.45806,tie,683.214
ta082,100,384865,3.45806,tie,698.634
ta082,100,384865,3.45806,tie,688.569
ta082,100,384865,3.45806,tie,716.687
ta082,100,384865,3.45806,tie,728.547
ta082,100,384865,3.45806,tie,722.373
ta082,100,384865,3.45806,tie,740.393
ta082,100,384865,3.45806,tie,724.88
ta082,100,384865,3.45806,tie,734.173
ta082,100,384865,3.45806,tie,745.609
ta083,100,385960,4.3059,tei,891.414
ta083,100,385960,4.3059,tei,926.397
ta083,100,385960,4.3059,tei,934.307
ta083,100,385960,4.3059,tei,951.262
ta083,100,385642,4.21996,tei,960.085
ta083,100,385642,4.21996,tei,977.231
ta083,100,385642,4.21996,tei,985.532
ta083,100,385642,4.21996,tei,1011.67
ta083,100,383371,3.60622,tei,1063.8
ta083,100,384721,3.97106,tei,1249.1
ta083,100,387929,4.83803,tie,633.09
ta083,100,387929,4.83803,tie,652.704
ta083,100,385318,4.1324,tie,955.989
ta083,100,385318,4.1324,tie,1012.49
ta083,100,385318,4.1324,tie,1046.91
ta083,100,381756,3.16977,tie,1297.23
ta083,100,384530,3.91944,tie,1345.63
ta083,100,381756,3.16977,tie,1351.48
ta083,100,381756,3.16977,tie,1366.66
ta083,100,384530,3.91944,tie,1370.65
ta084,100,385074,3.40527,tei,1022.16
ta084,100,385074,3.40527,tei,1032.14
ta084,100,385074,3.40527,tei,1052.2
ta084,100,385074,3.40527,tei,1051.19
ta084,100,385074,3.40527,tei,1049.36
ta084,100,385074,3.40527,tei,1060.91
ta084,100,385074,3.40527,tei,1061.05
ta084,100,385074,3.40527,tei,1062.38
ta084,100,385074,3.40527,tei,1060.12
ta084,100,385074,3.40527,tei,1072.05
ta084,100,388088,4.21463,tie,1767.5
ta084,100,388088,4.21463,tie,1764.95
ta084,100,388088,4.21463,tie,1771.69
ta084,100,388088,4.21463,tie,1795.31
ta084,100,388088,4.21463,tie,1789.17
ta084,100,388088,4.21463,tie,1800.3
ta084,100,388088,4.21463,tie,1779.3
ta084,100,388088,4.21463,tie,1799.36
ta084,100,388088,4.21463,tie,1791.14
ta084,100,388088,4.21463,tie,1816.45
ta085,100,381679,3.45988,tei,1737.12
ta085,100,381679,3.45988,tei,1780.04
ta085,100,381679,3.45988,tei,1824.83
ta085,100,381679,3.45988,tei,1816.23
ta085,100,381679,3.45988,tei,1820.05
ta085,100,381679,3.45988,tei,1819.11
ta085,100,381679,3.45988,tei,1812.62
ta085,100,381679,3.45988,tei,1835.33
ta085,100,381679,3.45988,tei,1859.49
ta085,100,381679,3.45988,tei,1868.3
ta085,100,385540,4.50646,tie,1265.68
ta085,100,385540,4.50646,tie,1308.69
ta085,100,385540,4.50646,tie,1323.81
ta085,100,385540,4.50646,tie,1329.32
ta085,100,385540,4.50646,tie,1342.82
ta085,100,385540,4.50646,tie,1350.14
ta085,100,385540,4.50646,tie,1355.03
ta085,100,385540,4.50646,tie,1350.22
ta085,100,385540,4.50646,tie,1390.98
ta085,100,385540,4.50646,tie,1389.83
ta086,100,383900,3.50276,tei,1310.7
ta086,100,384370,3.62947,tei,1331.83
ta086,100,383900,3.50276,tei,1328.19
ta086,100,384370,3.62947,tei,1375.23
ta086,100,383900,3.50276,tei,1362.61
ta086,100,383900,3.50276,tei,1364.16
ta086,100,384370,3.62947,tei,1379.89
ta086,100,383900,3.50276,tei,1392.22
ta086,100,384370,3.62947,tei,1390.92
ta086,100,383900,3.50276,tei,1388.17
ta086,100,385574,3.95408,tie,607.383
ta086,100,385574,3.95408,tie,606.483
ta086,100,385574,3.95408,tie,640.445
ta086,100,385574,3.95408,tie,632.533
ta086,100,385574,3.95408,tie,650.96
ta086,100,385574,3.95408,tie,652.982
ta086,100,385574,3.95408,tie,670.074
ta086,100,385574,3.95408,tie,651.867
ta086,100,381717,2.9142,tie,872.45
ta086,100,381717,2.9142,tie,881.4
ta087,100,388822,4.12792,tei,1044.96
ta087,100,388822,4.12792,tei,1063.71
ta087,100,388822,4.12792,tei,1061.51
ta087,100,388822,4.12792,tei,1080.18
ta087,100,388822,4.12792,tei,1070.64
ta087,100,388822,4.12792,tei,1101.85
ta087,100,388822,4.12792,tei,1093.14
